subject,lab,model,nll
FMR019,angelakilab,learning_history,0.3980582993840476
FMR019,angelakilab,long_evidence,0.3991343340917287
FMR019,angelakilab,long_history,0.39765880465375425
FMR019,angelakilab,outcome_history,0.39647016894794695
FMR020,angelakilab,combined_evidence,0.3562237352326245
FMR020,angelakilab,combined_history,0.355755761263748
FMR020,angelakilab,evidence_history,0.36362777689079223
FMR020,angelakilab,learning_evidence,0.36509068564604474
FMR020,angelakilab,learning_history,0.3643619033465397
FMR020,angelakilab,long_evidence,0.3567174254294805
FMR020,angelakilab,long_history,0.356367302165774
FMR020,angelakilab,outcome_history,0.3632083946108553
FMR025,angelakilab,combined_evidence,0.3573014317328176
FMR025,angelakilab,combined_history,0.35691933689507777
FMR025,angelakilab,evidence_history,0.3751419229497936
FMR025,angelakilab,learning_evidence,0.3689059462755911
FMR025,angelakilab,learning_history,0.3688375767100216
FMR025,angelakilab,long_evidence,0.3574503152134781
FMR025,angelakilab,long_history,0.3570386829762272
FMR025,angelakilab,outcome_history,0.3750512939500099
FMR028,angelakilab,combined_evidence,0.42790500943431287
FMR028,angelakilab,combined_history,0.42837375364043323
FMR028,angelakilab,evidence_history,0.4319444441417742
FMR028,angelakilab,learning_evidence,0.4435021495840459
FMR028,angelakilab,learning_history,0.44364094946453203
FMR028,angelakilab,long_evidence,0.42865891309779125
FMR028,angelakilab,long_history,0.42945368401058687
FMR028,angelakilab,outcome_history,0.4317145599781412
IBL-T1,angelakilab,combined_evidence,0.3489852780967587
IBL-T1,angelakilab,combined_history,0.34949150286873837
IBL-T1,angelakilab,evidence_history,0.36233179433268237
IBL-T1,angelakilab,learning_evidence,0.3631897391510203
IBL-T1,angelakilab,learning_history,0.3635341767842287
IBL-T1,angelakilab,long_evidence,0.34958429364925514
IBL-T1,angelakilab,long_history,0.35031071066684527
IBL-T1,angelakilab,outcome_history,0.36259928830434834
IBL-T2,angelakilab,combined_evidence,0.31051578392038076
IBL-T2,angelakilab,combined_history,0.3094982975574579
IBL-T2,angelakilab,evidence_history,0.31170518142854314
IBL-T2,angelakilab,learning_evidence,0.3117536998227638
IBL-T2,angelakilab,learning_history,0.3099974993641859
IBL-T2,angelakilab,long_evidence,0.31080918985486816
IBL-T2,angelakilab,long_history,0.3098011161650297
IBL-T2,angelakilab,outcome_history,0.30981288068346685
IBL-T4,angelakilab,combined_evidence,0.280385272260073
IBL-T4,angelakilab,combined_history,0.2832032650100297
IBL-T4,angelakilab,evidence_history,0.3411845663144376
IBL-T4,angelakilab,learning_evidence,0.3222527931634984
IBL-T4,angelakilab,learning_history,0.3301211017174901
IBL-T4,angelakilab,long_evidence,0.2820933074310823
IBL-T4,angelakilab,long_history,0.2855821443473288
IBL-T4,angelakilab,outcome_history,0.3494930582950657
KS002,cortexlab,combined_evidence,0.42532266535344915
KS002,cortexlab,combined_history,0.4279491777383837
KS002,cortexlab,evidence_history,0.4554314017645612
KS002,cortexlab,learning_evidence,0.45448152029673095
KS002,cortexlab,learning_history,0.46019087112688306
KS002,cortexlab,long_evidence,0.427838233379205
KS002,cortexlab,long_history,0.43133508240748936
KS002,cortexlab,outcome_history,0.4608987715012042
KS004,cortexlab,combined_evidence,0.40887553673509086
KS004,cortexlab,combined_history,0.4094981782858511
KS004,cortexlab,evidence_history,0.42313584714434366
KS004,cortexlab,learning_evidence,0.41297250833231136
KS004,cortexlab,learning_history,0.4152536836362216
KS004,cortexlab,long_evidence,0.40939976523276966
KS004,cortexlab,long_history,0.41021405845682146
KS004,cortexlab,outcome_history,0.4251017319921031
KS005,cortexlab,combined_evidence,0.41432075821553543
KS005,cortexlab,combined_history,0.41616678149190006
KS005,cortexlab,evidence_history,0.43340141464575993
KS005,cortexlab,learning_evidence,0.4246769471478319
KS005,cortexlab,learning_history,0.42823875752133167
KS005,cortexlab,long_evidence,0.41291209860330713
KS005,cortexlab,long_history,0.414761496780671
KS005,cortexlab,outcome_history,0.4372604127726634
KS015,cortexlab,combined_evidence,0.2596608662328418
KS015,cortexlab,combined_history,0.26043477332976617
KS015,cortexlab,evidence_history,0.2705688888969951
KS015,cortexlab,learning_evidence,0.2661179049255722
KS015,cortexlab,learning_history,0.267585044177177
KS015,cortexlab,long_evidence,0.2600949623191308
KS015,cortexlab,long_history,0.26104548179867665
KS015,cortexlab,outcome_history,0.2718957851082615
KS019,cortexlab,combined_evidence,0.4026562266998158
KS019,cortexlab,combined_history,0.40400519855095957
KS019,cortexlab,evidence_history,0.42931508749311864
KS019,cortexlab,learning_evidence,0.41404883181690544
KS019,cortexlab,learning_history,0.4176250989338948
KS019,cortexlab,long_evidence,0.40213840489088387
KS019,cortexlab,long_history,0.4035860242897473
KS019,cortexlab,outcome_history,0.43297328831272447
KS021,cortexlab,combined_evidence,0.35441046213535055
KS021,cortexlab,combined_history,0.3550275459590691
KS021,cortexlab,evidence_history,0.4124514905286947
KS021,cortexlab,learning_evidence,0.3980717847664921
KS021,cortexlab,learning_history,0.40147354081785663
KS021,cortexlab,long_evidence,0.3558741550231472
KS021,cortexlab,long_history,0.35673530237263534
KS021,cortexlab,outcome_history,0.4156311465573109
KS022,cortexlab,combined_evidence,0.27071279543171584
KS022,cortexlab,combined_history,0.2726666225186484
KS022,cortexlab,evidence_history,0.2963682917403314
KS022,cortexlab,learning_evidence,0.29052144103870314
KS022,cortexlab,learning_history,0.2942180744516207
KS022,cortexlab,long_evidence,0.2709894040784808
KS022,cortexlab,long_history,0.27321534828595057
KS022,cortexlab,outcome_history,0.29964161116547994
KS023,cortexlab,combined_evidence,0.2543360572471064
KS023,cortexlab,combined_history,0.2554033844060501
KS023,cortexlab,evidence_history,0.25638649997338975
KS023,cortexlab,learning_evidence,0.25680174873011696
KS023,cortexlab,learning_history,0.25873540079467505
KS023,cortexlab,long_evidence,0.25430847700185827
KS023,cortexlab,long_history,0.2555288895408985
KS023,cortexlab,outcome_history,0.2581463888799506
NYU-06,angelakilab,combined_evidence,0.3262385130311438
NYU-06,angelakilab,combined_history,0.32735304382853964
